task_id,dataset_name,r2,mondrian_bins,conformal_predictor_mean,conformal_predictor_median,conformal_predictor_coverage,normalized_cp_knn_dist_mean,normalized_cp_knn_dist_median,normalized_cp_knn_dist_coverage,normalized_cp_knn_std_mean,normalized_cp_knn_std_median,normalized_cp_knn_std_coverage,normalized_cp_knn_res_mean,normalized_cp_knn_res_median,normalized_cp_knn_res_coverage,normalized_cp_norm_var_mean,normalized_cp_norm_var_median,normalized_cp_norm_var_coverage,mondrian_cp_mean,mondrian_cp_median,mondrian_cp_coverage,symbolic_regression_cp_mean,symbolic_regression_cp_median,symbolic_regression_cp_coverage
361234,abalone,0.5049373532002084,20,2.908460055389512,2.9084600553895124,0.9435406698564593,3.6915788380086765,3.2064950580745566,0.9454545454545454,3.9164864556109666,3.5573620472669036,0.9464114832535885,3.6913097185091113,3.2760558704148517,0.9406698564593301,4.606285972276992,3.1292590131873492,0.937799043062201,2.949904337276705,2.6282015918080814,0.9511961722488038,2.7772775816832485,2.6326728040084793,0.9483253588516747
361235,airfoil_self_noise,0.914721215875003,19,1.2171886863548398,1.21718868635484,0.9388297872340425,1.6143568427508228,1.451304984068619,0.9414893617021277,1.8528194803526854,1.740151689161687,0.9468085106382979,1.4844443701663126,1.456814816638328,0.9308510638297872,1.719550779067767,1.1833574012302488,0.9228723404255319,1.1398662971826345,1.1239243017158742,0.925531914893617,1.1234586128589639,1.0529909620708764,0.949468085106383
361237,concrete_compressive_strength,0.8782973612942179,13,1.3663029174869072,1.3663029174869072,0.9263565891472868,2.3976431963244176,2.1758069739262504,0.9612403100775194,1.7350184256912318,1.7348772480562664,0.9573643410852714,1.7307564493282692,1.6599809623064152,0.9651162790697675,2.409006348056355,1.8865046242639074,0.9844961240310077,1.7154333451437471,1.3728543121277212,0.9651162790697675,1.3429679470688263,1.342967947068826,0.9263565891472868
361241,physiochemical_protein,0.6366913529781137,20,2.653707096800529,2.6537070968005287,0.9495320563281728,2.9093449495082364,2.443605903513873,0.9461208781597131,2.67915079702227,2.957880730717218,0.9497944546488236,2.425771804496933,2.438640084834439,0.9512813784658445,2.3463237749214634,2.0767858303454045,0.9495320563281728,2.0099992570710747,2.0499649881935054,0.9504941835038923,2.314788225384015,2.2641778317813874,0.9499693868625907
361242,superconductivity,0.9017272542757166,20,1.3187027270437586,1.3187027270437586,0.9522197140707299,6.047007693239379,4.861782014373552,0.9490218209179835,1.036034191267971,0.7899402276872824,0.948645598194131,0.9934096443973418,0.7557019549503208,0.9492099322799097,1.5024531331672992,0.5375000725271639,0.9460120391271633,0.966420660869927,0.6900934936366019,0.9488337095560572,1.089128117539267,1.02283818578033,0.9514672686230248
361249,white_wine,0.49502595843824704,20,2.913289229979867,2.9132892299798674,0.9559183673469388,3.563930188050844,3.271469161783788,0.9551020408163265,3.801684749686839,3.762004807519324,0.9510204081632653,3.380054752403135,3.3440120638085977,0.9551020408163265,3.370701620051094,3.0126697435598655,0.96,2.9884584949468214,2.890879312826176,0.963265306122449,2.8910248266435,2.8910248266435,0.9551020408163265
361250,red_wine,0.44433487231279756,20,3.4682861610693725,3.468286161069374,0.96,5.226859647244578,4.363684968888031,0.955,3.3190475705514615,3.3345259574498813,0.9575,3.508323977927676,3.48830865975666,0.945,3.6952010671824866,3.221945338048577,0.94,3.316891727383846,3.343527666066879,0.95,3.34543483470808,3.34543483470808,0.9575
361251,grid_stability,0.883302858784378,20,1.4006055734596288,1.4006055734596286,0.9584,1.6186586491124149,1.5548496610276532,0.9396,1.4542515684882489,1.4561830857556357,0.9436,1.4883295269373773,1.3852055283377451,0.956,1.6191954736291563,1.4773345537650666,0.9392,1.3273768326394195,1.3188586802458924,0.9508,1.337006165420208,1.2916118646136856,0.9564
361253,wave_energy,0.8257361552571768,20,1.7422139940596653,1.7422139940596655,0.9529444444444445,2.351533914282109,2.9258148514987035,0.9462777777777778,1.909272614864765,2.0309999042315683,0.9507222222222222,1.6316205944832913,1.7146564949356793,0.952,1.8244690707092628,1.8645215772377286,0.9503333333333334,1.617107658005586,1.739236656540517,0.9516666666666667,1.7417129946388883,1.741712994638888,0.9529444444444445
361255,california_housing,0.7972860168241216,20,1.972812618867636,1.972812618867636,0.9552325581395349,2.606605930361259,2.3116960019527055,0.951937984496124,1.9169250663684279,1.916062817731091,0.9558139534883721,1.798995761090955,1.6927722386654478,0.9536821705426357,2.2150545307501677,1.5159988201823071,0.9558139534883721,1.6653931921443743,1.5419879927551623,0.9589147286821705,1.8003455728733468,1.7375245821796417,0.9532945736434109
361258,kin8nm,0.6904547481904466,20,2.1633645614333616,2.163364561433361,0.94970703125,2.817708385077725,2.6883734490221167,0.94775390625,2.4753103086270962,2.3591616144437544,0.93798828125,2.2632369839268835,2.1482350313484777,0.955078125,2.5921317885783797,2.3179216222521566,0.9462890625,2.05699018491224,2.004800503608466,0.94677734375,2.1616650918058404,2.16166509180584,0.94921875
361259,pumadyn32nh,0.6130258210875976,20,2.4167091287638067,2.4167091287638076,0.94873046875,2.763866040042899,2.734306037776047,0.9443359375,2.879558855634365,2.891317544652879,0.95703125,3.091817741023301,3.0683545917917536,0.96240234375,3.048115364429697,2.944607073681191,0.9609375,2.4982226618619405,2.54373028692475,0.95458984375,2.3489632582936726,2.329613258009971,0.94140625
361260,miami_housing,0.8919486410682029,20,1.2406730790186953,1.2406730790186953,0.9560723514211886,0.9525780721308701,0.8721139802167598,0.9517657192075797,0.9329406791478445,0.5063908967161468,0.9445879988515647,0.862921751015963,0.5345888693237576,0.9457364341085271,0.9021339036118217,0.4120650959536303,0.9368360608670686,0.8045318711606951,0.4253117718718205,0.9411426930806776,0.7617383125117463,0.5605647414998054,0.9532012632787826
361264,socmob,0.7458618118078056,15,1.590737424420865,1.5907374244208647,0.9515570934256056,2.0277983585516957,1.6513320751324068,0.972318339100346,1.149954424087267,0.5613228612851484,0.9480968858131488,1.0727717552278642,0.5646458521854698,0.9342560553633218,1.3234802547380924,0.34127258170800934,0.9411764705882353,1.1547864539311647,0.747544895154181,0.9550173010380623,0.8122605328036472,0.4960755364906013,0.9619377162629758
361266,kings_county,0.844373631948062,20,1.4450316285581357,1.4450316285581357,0.9517024426350851,1.3925633901548942,1.136007689781473,0.9548482605477424,1.397826218145219,1.0838075191662169,0.9613249444855663,1.260678823395462,0.9767024349289674,0.9537379718726869,1.3335258483147956,0.7371002838186242,0.9570688378978535,1.164215833492396,0.8429281811234515,0.9529977794226498,1.2107480378500546,1.0726430952204935,0.9568837897853442
361267,brazilian_houses,0.24047373803230898,20,0.498218369985484,0.49821836998548397,0.9637111859334082,0.5355919010422888,0.48041265387513016,0.9551066217732884,0.3945101220745225,0.34535746520636545,0.9599700710811822,0.4034101581249205,0.28160259199333226,0.9521137298915077,0.495796345737168,0.4909411843845454,0.964833520389076,0.36430968576988154,0.2286044338791412,0.9685746352413019,0.3161600331103768,0.23493280816051731,0.9637111859334082
361269,health_insurance,0.32442284050168324,20,3.3258089565077067,3.3258089565077062,0.947198275862069,6.535312632967387,5.741602057805126,0.9570761494252874,3.2763740884044132,3.691915798836796,0.9525862068965517,3.758018988896427,4.276113162515887,0.9556393678160919,5.030031668456148,4.851123296462401,0.9542025862068966,3.162182311090674,3.2092827024867088,0.9524066091954023,3.2557331649345125,3.3991023988102658,0.9608477011494253
361272,fifa,0.7640420439155097,20,1.914357204889496,1.914357204889496,0.9557872784150157,1.7372879190214883,1.6180643613196597,0.9491136600625651,1.0311773544748462,0.5732228820878813,0.9418143899895725,1.041441147203165,0.5529058946540586,0.9436913451511991,1.2212814085473487,0.6131809747847805,0.9443169968717414,1.0861355068806173,0.46073139553001985,0.9472367049009385,1.2132732248604883,0.8538815963045199,0.9526590198123045
361616,Moneyball,0.9191786937186021,16,1.0977073583635246,1.0977073583635246,0.9285714285714286,3.3745345432152085,3.02550367230829,0.9772727272727273,1.45670318060088,1.4404940028248892,0.9318181818181818,1.5383548756947139,1.5051575875644234,0.9512987012987013,1.8709054651112047,1.694050939393454,0.9512987012987013,1.26843886795244,1.271827972788504,0.9545454545454546,1.0789521317635256,1.058512732760255,0.922077922077922
361621,QSAR_fish_toxicity,0.5368506423404605,11,3.407263970391514,3.407263970391515,0.986784140969163,3.898992754714146,3.269123684232907,0.9647577092511013,3.681168891523411,3.495087758987955,0.9823788546255506,4.322964493653729,4.3107574002182,0.9779735682819384,3.966089389684727,3.2597446683535765,0.9515418502202643,3.451005629439623,3.337292494627364,0.960352422907489,2.5499204369891997,2.2427866539995707,0.9383259911894273
361622,cars,0.9369268253269426,10,1.1238281632476474,1.1238281632476472,0.9402985074626866,6.357990269778337,5.8504001717978555,0.9850746268656716,1.7870703506074133,1.236493408285443,0.9552238805970149,0.9708326330837871,0.7211503658123177,0.9402985074626866,1.9313486516601026,0.991717377605709,0.9651741293532339,1.0757730094679974,0.9967332623127952,0.9402985074626866,0.8544679890170085,0.756211083478844,0.9353233830845771
361623,space_ga,0.6606269670351965,20,2.536854441235054,2.5368544412350547,0.9601029601029601,5.141379563693843,3.5514744408688426,0.9562419562419563,3.096943788467847,3.0073681621349646,0.9613899613899614,3.1740720942421783,3.1477189046590173,0.9665379665379665,3.839000051184312,2.9568422417164824,0.9575289575289575,3.1183052249160874,2.7691398579347366,0.9562419562419563,2.1970056346770535,2.089550229921906,0.9613899613899614
